Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1121.0,1151.0,1121.0,1134.0,1135.6,101651.0,1157.18
2010-01-05,1146.8,1149.0,1128.75,1135.0,1134.6,59504.0,676.47
2010-01-06,1140.0,1164.25,1130.05,1137.0,1139.6,128908.0,1482.84
2010-01-07,1142.0,1159.4,1119.2,1141.0,1144.15,117871.0,1352.98
2010-01-08,1156.0,1172.0,1140.0,1141.2,1144.05,170063.0,1971.42
2010-01-11,1154.0,1159.45,1134.1,1140.1,1137.0,58910.0,674.55
2010-01-12,1150.0,1156.9,1117.05,1141.1,1143.65,113364.0,1296.07
2010-01-13,1130.0,1156.8,1125.0,1138.3,1142.25,55644.0,634.85
2010-01-14,1148.5,1168.5,1145.15,1148.0,1148.2,94256.0,1084.88
2010-01-15,1159.9,1232.0,1151.0,1205.0,1207.05,491686.0,5937.04
2010-01-18,1215.0,1262.3,1197.0,1234.05,1236.25,364935.0,4503.03
2010-01-19,1247.0,1275.0,1215.1,1220.0,1221.25,283358.0,3547.08
2010-01-20,1225.9,1241.9,1178.6,1185.15,1186.2,144440.0,1739.8
2010-01-21,1181.0,1187.8,1136.0,1158.3,1150.15,107281.0,1247.78
2010-01-22,1145.0,1179.9,1094.1,1161.05,1170.75,129148.0,1466.66
2010-01-25,1155.0,1179.45,1146.0,1148.05,1154.7,51565.0,598.59
2010-01-27,1158.9,1173.9,1044.0,1047.65,1058.6,157451.0,1755.52
2010-01-28,1078.0,1084.0,1032.0,1045.0,1039.3,161794.0,1701.87
2010-01-29,1039.3,1074.7,1005.0,1072.4,1068.95,101678.0,1055.75
2010-02-01,1064.0,1148.9,1051.3,1145.15,1140.1,141835.0,1580.21
2010-02-02,1150.0,1169.0,1100.05,1109.9,1107.95,72595.0,824.5
2010-02-03,1119.4,1145.9,1105.1,1119.0,1118.8,83926.0,944.75
2010-02-04,1125.8,1139.95,1085.1,1090.0,1090.3,62220.0,697.16
2010-02-05,1051.0,1089.0,1016.6,1074.1,1070.45,91747.0,973.34
2010-02-06,1071.0,1088.0,1070.0,1088.0,1080.4,12254.0,132.49
2010-02-08,1089.8,1109.0,1065.55,1097.35,1095.65,59599.0,650.37
2010-02-09,1094.0,1114.1,1080.0,1111.8,1109.0,54591.0,601.79
2010-02-10,1110.0,1127.9,1035.0,1096.0,1095.45,48414.0,540.04
2010-02-11,1101.05,1129.0,1095.1,1120.5,1120.55,212087.0,2371.54
2010-02-15,1127.5,1156.9,1127.0,1142.0,1139.65,132333.0,1514.86
2010-02-16,1149.0,1153.0,1131.0,1140.0,1137.9,62820.0,715.96
2010-02-17,1175.0,1190.0,1139.05,1144.0,1142.75,72599.0,834.44
2010-02-18,1155.0,1155.0,1126.65,1132.0,1131.0,44972.0,512.59
2010-02-19,1134.4,1151.7,1096.3,1117.0,1116.4,79508.0,895.91
2010-02-22,1129.0,1147.0,1086.15,1090.3,1094.0,83180.0,925.17
2010-02-23,1091.0,1095.0,1062.0,1063.0,1065.0,98527.0,1059.5
2010-02-24,1065.0,1076.8,1037.2,1041.3,1046.45,333595.0,3524.43
2010-02-25,1022.65,1056.0,1001.0,1017.0,1011.15,209785.0,2143.2
2010-02-26,1021.9,1040.8,1010.0,1014.0,1013.55,81532.0,835.82
2010-03-02,1035.0,1050.0,1025.3,1042.9,1042.0,65588.0,683.32
2010-03-03,1052.0,1059.8,1030.0,1035.0,1035.85,69608.0,725.71
2010-03-04,1038.0,1053.0,1031.0,1050.0,1048.9,68310.0,713.91
2010-03-05,1057.9,1077.9,1056.0,1065.4,1064.3,94744.0,1009.64
2010-03-08,1074.0,1080.1,1067.0,1070.0,1069.8,38993.0,418.11
2010-03-09,1061.15,1073.8,1057.2,1064.45,1063.75,32654.0,347.93
