Company Name,Year Ending,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,MANIPULATOR
1,31-03-2014,1.624741593,1.12892693,7.185053446,0.36621145,1.381519088,1.624144867,-0.166808698,1.16108165,1
2,31-03-2009,1,1.6064918,1.004987918,13.08143322,0.4,5.198207171,0.060475162,0.98673249,1
3,31-03-2008,1,1.015606645,1.241389485,1.475018279,1.169352546,0.64767093,0.036731634,1.264304955,1
4,31-03-2014,1.486238532,1,0.465534792,0.672839506,2,0.092889908,0.273434125,0.680975008,1
5,31-03-2010,1,1.369037818,0.637111992,0.861346411,1.454675658,1.741459627,0.123047699,0.939047219,1
6,31-03-2012,0.905532018,1.360914856,0.783994912,1.793323715,1.278244073,0.505260038,0.054642384,1.543137068,1
7,31-03-2012,1.447483586,0.998407375,0.966552642,0.911808894,1.058860983,0.898420927,-0.036551612,0.48907319,1
8,31-03-2015,7.659976157,0.580184063,1.035790958,1.48544007,0.67883321,0.653651141,0.003651969,1.101591314,1
9,31-03-2010,1.346279046,2.473562702,0.70253012,0.965624478,0.985272875,0.59451069,-0.013484949,1.028458771,1
10,31-03-2013,1,1,1.166638167,2.592592593,0.850340136,0.557142857,0.001028454,0.163025649,1
11,31-03-2008,1,0.863155535,1.009766908,1.39501385,1.00187188,0.987882273,-0.004573519,1.006393846,1
12,31-03-2012,1.448388591,0.79567111,4.001688367,1.067377236,1.085546766,3.734491401,0.090457908,0.22209013,1
13,31-03-2012,1.274048277,1,1.077100159,0.907874348,1.240435755,3.736372625,0.358456918,0.379347901,1
14,31-03-2009,1,1.400582754,4.575692217,1.195899281,1.143273836,0.886869051,0.011258956,0.33397698,1
15,31-03-2010,1.252242124,1.006479864,1.174924006,1.250303986,0.953411259,1.111494403,-0.013453903,1.118080798,1
16,31-03-2012,8.347614761,0.495239915,0.573016315,0.672111313,0.941860465,1.487848785,0.060810811,13.05855856,1
17,31-03-2013,1.525969482,0.96144965,-0.431265463,1.331646082,1.093675299,0.856966792,0.087768572,1.107681208,1
18,31-03-2012,1.778240552,0.742245792,-2.130099643,1.937308198,1,1.806630459,0.14638448,1.079539609,1
19,31-03-2015,0.615328175,0.859323517,0.899377798,1.716066482,0.942606044,1.566081517,0.13283208,0.138588752,1
20,31-03-2014,1,-1.416666667,16.42665019,0.416666667,0.068822665,2.4,-0.004070951,1,1
21,31-03-2008,1,1,-1.540544209,2.666666667,0.16576087,1,0.03524403,0.010580169,1
22,31-03-2008,1,0.872009682,0.652509736,13.06465312,1.103716473,0.096956356,0.041027948,1.17665472,1
23,31-03-2014,15.34351209,0.078509647,0.944184283,0.064537591,0.229293458,49.30178069,-0.560536202,1.166785161,1
24,31-03-2012,14,1,1,0.076923077,1,1,-0.004716981,1.083333333,1
25,31-03-2012,2.04,1,0.291530824,0.219298246,1,1,0.717842324,1,1
26,31-03-2014,0.146341463,46.46666667,1,2.277777778,1,0.219512195,0.013937282,0,1
27,31-03-2012,2.235486064,1,0.472717315,1.16902078,1.036363636,0.904297747,0.510336345,0.536065349,1
28,31-03-2008,2.165712073,0.986394044,0.906729316,1.19760917,1.046819037,1.363694048,0.017250499,1.203172683,1
29,31-03-2011,1,1.501809756,1.521190009,1.26302613,0.994791044,0.745659903,0.081258592,1.376939635,1
30,31-03-2013,36.29118483,-0.515327696,1.014407505,0.027685493,1.142857143,11.79428571,-0.020010625,1.027592881,1
31,31-03-2010,1,1.058596418,1.181104938,1.564386272,0.803666878,1.157510911,0.053422902,0.838187433,1
32,31-03-2013,1.322662312,1,0.939321588,1.215182249,1.047781829,1.206063573,0.041868055,0.848333475,1
33,31-03-2012,1.009933826,1.095583845,5.702904353,0.90274306,1.23717437,0.624587852,0.007919807,2.556236236,1
34,31-03-2011,1,1,0.408385888,1,1,1,0.387133281,0.358268955,1
35,31-03-2008,1,1,1.086281015,4.527020448,0.531541078,2.240097936,0.08784162,8.563866324,1
36,30-09-2012,0.664448807,1.462086957,52.88673355,0.805277823,0.650249708,1.360067464,-0.262953284,3.5541471,1
37,31-03-2015,1.427451179,1.005147254,0.465711628,1.56988767,0.906373994,0.849487857,0.197596621,0.842003655,1
38,31-03-2014,3.753596531,3.101434108,1.163565965,0.84795764,1.00288512,0.276007364,-0.592257932,1.070585032,1
39,31-03-2009,1,0.910133334,0.977250794,1.578684986,1.062822479,0.979850327,0.15685082,0.744894626,1
40,31-03-2014,1.651673945,0.985459442,1.105254266,1.117874121,0.970978971,0.847071979,0.046628295,0.940657473,0
41,31-03-2014,1.101014074,0.985565299,9.852415763,1.01327776,1.05894757,0.871900305,-0.044072816,0.984906757,0
42,31-03-2014,0.774841025,1,0.641084408,1.433708541,1.263492435,0.983886786,-0.007443183,1.048663277,0
43,31-03-2014,1.072573592,1.04642748,1.061133084,1.064932907,0.95933616,0.711300413,-0.008174285,1.021771135,0
44,31-03-2014,1.037167561,0.971852212,-2.38934922,1.407902514,0.880728534,1.275393776,0.027179339,1.109276139,0
45,31-03-2014,1.130094321,0.828779027,1.244671917,0.686150048,1.089117752,4.296371321,-0.012305725,0.885743584,0
46,31-03-2014,1.241264778,0.901785321,-0.370115853,0.98914293,1.022923956,1.13734827,0.021675978,0.841400712,0
47,31-03-2014,0.54774822,0.747301526,5.169690781,0.31843566,0.587257998,1.60106461,-0.327628362,0.817558185,0
48,31-03-2014,0.997862443,0.950067371,1.160135875,1.006324699,1.031186368,0.599655635,0.043733028,1.570583737,0
49,31-03-2014,1.075149482,1.03714577,0.828893302,1.073070881,0.965693744,0.839294567,0.022419826,0.742698542,0
50,31-03-2014,0.911379462,1.177776942,0.964304859,1.209115815,0.918166167,0.950886495,-0.009584309,0.972585881,0
51,31-03-2014,1.312791202,0.973454834,0.516755182,1.051324985,1.06136394,1.036694436,-0.084482571,1.106377669,0
52,31-03-2014,0.690390588,0.954615651,-2.113457609,1.07196938,1.10015568,1.266827229,-0.131930117,1.137605075,0
53,31-03-2014,0.531474509,1.002974042,-3.752402247,0.965450144,0.868986679,1,0.008934361,2.542951542,0
54,31-03-2014,1.040148479,1.110310313,0.875015935,1.251293981,1.105324395,1.103619455,-0.113771738,1.020213655,0
55,31-03-2014,1.128868975,1.066568696,1.255903202,0.863207214,1.084628545,1.233973072,-0.021044103,1.457744853,0
56,31-03-2014,0.849625396,0.957959657,1.738096307,1.086156201,1.119729936,0.728243721,-0.098721479,0.98003563,0
57,31-03-2014,1.037076105,0.986551837,1.055848137,1.245600175,0.857705707,1.016037368,-0.001387902,0.971349375,0
58,31-03-2014,0.652775978,-20.81184877,0.947131863,1.700154035,0.436843798,0.918363769,-0.055967524,1.337930461,0
59,31-03-2014,1.510233706,1.46751838,1.103944117,0.714606251,0.897295786,0.364601574,-0.089547276,1.106882421,0
60,31-03-2014,1.270093286,1.318260244,0.970412491,0.932162646,1.062368016,1.089627225,-0.172354922,1.199444676,0
61,31-03-2014,0.729194951,1.270015852,1.148607283,1.125478011,1.087615622,0.929440867,-0.056842655,0.93309337,0
62,31-03-2014,0.59232486,0.905356452,0.843799787,1.145202653,1.103761801,1.140803865,-0.072030383,0.663105153,0
63,31-03-2014,1.509018319,1.079883012,0.663974629,0.995005407,1.00296602,1.010129934,-0.139701957,1.155623679,0
64,31-03-2014,3.018627721,0.789108958,0.816911541,0.256386385,1.369847085,2.027557185,0.110765336,1.058538119,0
65,31-03-2014,1.514964559,0.99730043,-0.30754099,1.021016396,1.016974623,1.140478222,-0.035634355,1.276760543,0
66,31-03-2014,1.020455282,0.901727247,1.028285597,0.941808008,0.976300815,1.188318961,-0.033537729,0.96394005,0
67,31-03-2014,1.037615223,1.162410749,0.979373235,1.075185624,1.017404698,1.046974483,-0.059523569,0.920322569,0
68,31-03-2014,0.886111005,1.145704979,0.795674887,1.106115581,0.948687035,0.865558197,0.015226395,1.092294647,0
69,31-03-2014,1.549906816,0.996710305,1.343654387,1.127156764,0.920666665,0.965469337,-0.124358938,0.903108812,0
70,31-03-2014,0.887797675,0.990712374,1.11840697,1.037764372,0.741573715,1.036787017,-0.053784268,1.057349411,0
71,31-03-2014,1.151804481,1.414833337,1.017383194,1.285269453,0.700260911,0.492970558,0.010497421,0.563518273,0
72,31-03-2014,0.583144912,0.870007553,1.084901726,1.156519744,1.119283035,0.929190246,-0.042253521,0.71328484,0
73,31-03-2014,0.930917799,0.980619809,1.262980568,1.193305414,0.932897597,0.973680799,-0.086035186,0.962980914,0
74,31-03-2014,0.839451207,1.10284968,1.435702092,1.254837691,0.930773103,1.043626852,-0.070699338,0.863701411,0
75,31-03-2014,1.189989162,1.094789561,0.847110526,1.046526419,1.033643654,0.936494701,0.018273444,0.997100288,0
76,31-03-2014,4.952641759,1.469672403,-0.236226193,0.2219895,0.938392068,2.542638917,0.036859869,0.911416102,0
77,31-03-2014,3.832249065,-0.960679693,1.400703958,1.157535829,1.438812906,1.460379138,0.183419446,1.120737336,0
78,31-03-2014,1.154334616,1.011109687,1.170120648,0.986775178,1.056413056,1.02065635,-0.110873,1.038567663,0
79,31-03-2014,1.141091964,0.970997351,2.638112309,0.911914221,1.037347602,0.996180368,-0.059712534,0.952707695,0
80,31-03-2014,0.92768486,0.987919477,0.570605705,1.175658386,1.003713161,0.919582889,0.026476601,1.003619014,0
81,31-03-2014,0.551165147,0.987932583,0.949190815,0.875,1.29148106,0.950422328,-0.371346838,1.046087436,0
82,31-03-2014,1.587257058,1.005870849,1.104678583,0.731052302,0.957237197,1.390213068,0.019789565,0.677187805,0
83,31-03-2014,0.942181662,1.066789574,0.840315058,1.361276196,0.929332598,1.02921952,-0.025323418,0.909293631,0
84,31-03-2014,0.986057162,0.915148498,0.961982292,1.082596488,1.105168457,0.977568897,-0.022034213,0.960679095,0
